"고유번호","녹지대ID","녹지대명","주소한글","녹지대분류","녹지대조성년도","녹지대면적","조경량","구명","구코드","생성일","사진파일명","경도","위도"
"1631","0","도시구조물벽면녹화","잠실대교","기타","0","407.00000000","0E-8","광진구","210",""," ","127.0867266","37.5294962"
"1632","0","영동대로분리대"," ","분리녹지대","0","8971.00000000","0E-8","강남구","680",""," ","127.0748079","37.487572"
"1629","0","반포ic입체교차로녹지대","반포ic","광장녹지","0","9600.00000000","0E-8","서초구","650",""," ","127.0190751","37.5023668"
"1634","0","남부순환로"," ","중앙분리","0","10363.00000000","0E-8","관악구","620",""," ","126.9467694","37.4818981"
"1637","0","양화로푸른거리"," ","도로변녹지","0","892.00000000","0E-8","마포구","440",""," ","126.918962","37.5534603"
"1639","0","능동로상징보행가로"," ","광장녹지","0","1245.00000000","0E-8","광진구","210",""," ","127.0764683","37.5510259"
"1640","0","백제고분로 분리대"," ","중앙분리대","0","14022.00000000","0E-8","송파구","710",""," ","127.0779159","37.5137289"
"1641","0","양화교입구","목동 570","일반녹지","0","2663.00000000","0E-8","양천구","470",""," ","126.8788608","37.5471514"
"1642","0","을지로4가녹지대","을지로4가R","광장녹지","0","1300.00000000","3052.00000000","중구","140",""," ","126.9978856","37.5664008"
"1643","0","금호1가동62","금로1가동62","기타","0","20.00000000","0E-8","성동구","200",""," ","127.0191429","37.5563835"
"1644","0","적환장 주변","고덕동 쓰레기 적환장 입구","건물조경","0","450.00000000","0E-8","강동구","740",""," ","127.1616127","37.5712986"
"1645","0","연남1 간이휴게실(철로변)","철로굴다리옆(동교로),연남","간이휴게소","0","800.00000000","0E-8","마포구","440",""," ","126.9240204","37.5606483"
"1646","0","자하문 주변"," ","문화재 주변","0","1375.00000000","1878.00000000","종로구","110",""," ","126.9647443","37.5924834"
"1647","0","양화대교I.C"," ","광장녹지","0","52297.00000000","0E-8","마포구","440",""," ","126.909294","37.5452628"
"1648","0","한산중학교","둔촌동161-1","건물조경","0","0E-8","0E-8","강동구","740",""," ","127.1399841","37.5286362"
"1649","0","양화대교I.C"," ","광장녹지","0","52297.00000000","0E-8","마포구","440",""," ","126.9078298","37.5475677"
"1650","0","강변북로연결광장녹지"," ","광장녹지","0","19715.00000000","0E-8","마포구","440",""," ","126.8882785","37.5629485"
"1481","0","푸른거리(홍대입구-성모병"," ","도로변녹지","0","667.00000000","0E-8","마포구","440",""," ","126.9168548","37.5598642"
"1466","0","신월복개천","신월동 894","일반녹지","0","6036.00000000","0E-8","양천구","470",""," ","126.8455235","37.521526"
"1471","0","한강대교입구","이촌동212-1일대","광장녹지","0","3457.00000000","0E-8","용산구","170",""," ","126.9611569","37.5226291"
"1474","0","송정제방","송정제방","수림대","0","17987.00000000","0E-8","성동구","200",""," ","127.0608938","37.55223"
"1651","0","창전동 마을마당"," ","휴게소","0","0E-8","0E-8","마포구","440",""," ","126.9310017","37.5452232"
"1652","0","훈련원로가로분리대","장충동훈련원로","노변분리대","0","456.00000000","1624.00000000","중구","140",""," ","127.0027063","37.5604469"
"1653","0","헌능로중앙분리대","염곡사거리~내곡동","중앙분리대","0","3750.00000000","0E-8","서초구","650",""," ","127.0809194","37.4603793"
"1654","0","능동로상징보행가로"," ","광장녹지","0","1245.00000000","0E-8","광진구","210",""," ","127.0767892","37.5523761"
"1655","0","능동로상징보행가로"," ","광장녹지","0","1245.00000000","0E-8","광진구","210",""," ","127.078958","37.555942"
